time,TRes
0.0,293.15
0.001,293.15999928393
0.002,293.16999717594
0.003,293.17999367624
0.004,293.18998878506
0.005,293.19998250262
0.006,293.20997482916
0.007,293.21996576489
0.008,293.22995531004
0.009,293.23994346483
0.01,293.24993022949
0.011,293.25991560423
0.012,293.2698995893
0.013,293.2798821849
0.014,293.28986339126
0.015,293.29984320862
0.016,293.30982163718
0.017,293.31979867717
0.018,293.32977432883
0.019,293.33974859237
0.02,293.34972146801
0.021,293.35969295598
0.022,293.36966305651
0.023,293.37963176981
0.024,293.38959909611
0.025,293.39956503563
0.026,293.4095295886
0.027,293.41949275524
0.028,293.42945453578
0.029,293.43941493043
0.03,293.44937393942
0.031,293.45933156297
0.032,293.46928780132
0.033,293.47924265467
0.034,293.48919612325
0.035,293.49914820729
0.036,293.509098907
0.037,293.51904822262
0.038,293.52899615436
0.039,293.53894270245
0.04,293.5488878671
0.041,293.55883164855
0.042,293.56877404702
0.043,293.57871506272
0.044,293.58865469588
0.045,293.59859294672
0.046,293.60852981547
0.047,293.61846530235
0.048,293.62839940757
0.049,293.63833213137
0.05,293.64826347396
0.051,293.65819343557
0.052,293.66812201641
0.053,293.67804921672
0.054,293.68797503671
0.055,293.69789947661
0.056,293.70782253663
0.057,293.717744217
0.058,293.72766451794
0.059,293.73758343968
0.06,293.74750098243
0.061,293.75741714641
0.062,293.76733193185
0.063,293.77724533897
0.064,293.787157368
0.065,293.79706801914
0.066,293.80697729263
0.067,293.81688518869
0.068,293.82679170753
0.069,293.83669684938
0.07,293.84660061446
0.071,293.85650300299
0.072,293.86640401519
0.073,293.87630365129
0.074,293.8862019115
0.075,293.89609879605
0.076,293.90599430515
0.077,293.91588843903
0.078,293.92578119791
0.079,293.93567258201
0.08,293.94556259155
0.081,293.95545122676
0.082,293.96533848784
0.083,293.97522437503
0.084,293.98510888854
0.085,293.99499202859
0.086,294.00487379541
0.087,294.01475418922
0.088,294.02463321023
0.089,294.03451085867
0.09,294.04438713475
0.091,294.0542620387
0.092,294.06413557074
0.093,294.07400773108
0.094,294.08387851995
0.095,294.09374793757
0.096,294.10361598416
0.097,294.11348265994
0.098,294.12334796513
0.099,294.13321189994
0.1,294.1430744646
0.101,294.15293565933
0.102,294.16279548434
0.103,294.17265393987
0.104,294.18251102612
0.105,294.19236674332
0.106,294.20222109168
0.107,294.21207407144
0.108,294.22192568279
0.109,294.23177592598
0.11,294.2416248012
0.111,294.25147230869
0.112,294.26131844867
0.113,294.27116322135
0.114,294.28100662695
0.115,294.29084866569
0.116,294.3006893378
0.117,294.31052864348
0.118,294.32036658296
0.119,294.33020315646
0.12,294.3400383642
0.121,294.34987220639
0.122,294.35970468326
0.123,294.36953579502
0.124,294.37936554189
0.125,294.3891939241
0.126,294.39902094186
0.127,294.40884659538
0.128,294.4186708849
0.129,294.42849381062
0.13,294.43831537276
0.131,294.44813557155
0.132,294.45795440719
0.133,294.46777187992
0.134,294.47758798995
0.135,294.48740273749
0.136,294.49721612277
0.137,294.507028146
0.138,294.51683880741
0.139,294.5266481072
0.14,294.5364560456
0.141,294.54626262282
0.142,294.55606783909
0.143,294.56587169462
0.144,294.57567418963
0.145,294.58547532434
0.146,294.59527509897
0.147,294.60507351372
0.148,294.61487056883
0.149,294.62466626451
0.15,294.63446060097
0.151,294.64425357843
0.152,294.65404519712
0.153,294.66383545725
0.154,294.67362435903
0.155,294.68341190269
0.156,294.69319808843
0.157,294.70298291649
0.158,294.71276638707
0.159,294.72254850039
0.16,294.73232925667
0.161,294.74210865614
0.162,294.75188669899
0.163,294.76166338546
0.164,294.77143871575
0.165,294.78121269009
0.166,294.79098530869
0.167,294.80075657177
0.168,294.81052647955
0.169,294.82029503224
0.17,294.83006223006
0.171,294.83982807322
0.172,294.84959256195
0.173,294.85935569645
0.174,294.86911747696
0.175,294.87887790367
0.176,294.88863697681
0.177,294.8983946966
0.178,294.90815106325
0.179,294.91790607698
0.18,294.927659738
0.181,294.93741204653
0.182,294.94716300279
0.183,294.95691260699
0.184,294.96666085935
0.185,294.97640776009
0.186,294.98615330941
0.187,294.99589750754
0.188,295.0056403547
0.189,295.01538185109
0.19,295.02512199694
0.191,295.03486079246
0.192,295.04459823786
0.193,295.05433433337
0.194,295.06406907919
0.195,295.07380247555
0.196,295.08353452265
0.197,295.09326522072
0.198,295.10299456997
0.199,295.11272257061
0.2,295.12244922286
0.201,295.13217452694
0.202,295.14189848306
0.203,295.15162109143
0.204,295.16134235228
0.205,295.17106226581
0.206,295.18078083224
0.207,295.1904980518
0.208,295.20021392468
0.209,295.20992845111
0.21,295.2196416313
0.211,295.22935346546
0.212,295.23906395382
0.213,295.24877309658
0.214,295.25848089397
0.215,295.26818734619
0.216,295.27789245346
0.217,295.28759621599
0.218,295.29729863401
0.219,295.30699970772
0.22,295.31669943733
0.221,295.32639782307
0.222,295.33609486514
0.223,295.34579056377
0.224,295.35548491917
0.225,295.36517793154
0.226,295.37486960111
0.227,295.38455992808
0.228,295.39424891268
0.229,295.40393655511
0.23,295.4136228556
0.231,295.42330781435
0.232,295.43299143158
0.233,295.4426737075
0.234,295.45235464233
0.235,295.46203423627
0.236,295.47171248955
0.237,295.48138940238
0.238,295.49106497497
0.239,295.50073920754
0.24,295.51041210029
0.241,295.52008365345
0.242,295.52975386722
0.243,295.53942274182
0.244,295.54909027746
0.245,295.55875647436
0.246,295.56842133272
0.247,295.57808485277
0.248,295.58774703472
0.249,295.59740787878
0.25,295.60706738515
0.251,295.61672555406
0.252,295.62638238572
0.253,295.63603788034
0.254,295.64569203814
0.255,295.65534485932
0.256,295.6649963441
0.257,295.6746464927
0.258,295.68429530532
0.259,295.69394278217
0.26,295.70358892348
0.261,295.71323372946
0.262,295.72287720031
0.263,295.73251933624
0.264,295.74216013748
0.265,295.75179960424
0.266,295.76143773672
0.267,295.77107453514
0.268,295.78070999971
0.269,295.79034413064
0.27,295.79997692815
0.271,295.80960839244
0.272,295.81923852374
0.273,295.82886732225
0.274,295.83849478818
0.275,295.84812092175
0.276,295.85774572317
0.277,295.86736919265
0.278,295.8769913304
0.279,295.88661213663
0.28,295.89623161156
0.281,295.9058497554
0.282,295.91546656836
0.283,295.92508205064
0.284,295.93469620247
0.285,295.94430902406
0.286,295.95392051561
0.287,295.96353067734
0.288,295.97313950945
0.289,295.98274701217
0.29,295.9923531857
0.291,296.00195803025
0.292,296.01156154604
0.293,296.02116373327
0.294,296.03076459216
0.295,296.04036412292
0.296,296.04996232575
0.297,296.05955920088
0.298,296.06915474851
0.299,296.07874896885
0.3,296.08834186211
0.301,296.09793342851
0.302,296.10752366825
0.303,296.11711258155
0.304,296.12670016861
0.305,296.13628642965
0.306,296.14587136488
0.307,296.15545497451
0.308,296.16503725875
0.309,296.17461821781
0.31,296.18419785189
0.311,296.19377616122
0.312,296.203353146
0.313,296.21292880644
0.314,296.22250314275
0.315,296.23207615515
0.316,296.24164784384
0.317,296.25121820903
0.318,296.26078725093
0.319,296.27035496975
0.32,296.27992136571
0.321,296.28948643902
0.322,296.29905018987
0.323,296.30861261849
0.324,296.31817372508
0.325,296.32773350986
0.326,296.33729197302
0.327,296.34684911479
0.328,296.35640493537
0.329,296.36595943498
0.33,296.37551261381
0.331,296.38506447209
0.332,296.39461501001
0.333,296.4041642278
0.334,296.41371212566
0.335,296.42325870379
0.336,296.43280396241
0.337,296.44234790174
0.338,296.45189052196
0.339,296.46143182331
0.34,296.47097180598
0.341,296.48051047018
0.342,296.49004781613
0.343,296.49958384404
0.344,296.5091185541
0.345,296.51865194654
0.346,296.52818402155
0.347,296.53771477936
0.348,296.54724422016
0.349,296.55677234417
0.35,296.56629915159
0.351,296.57582464264
0.352,296.58534881752
0.353,296.59487167644
0.354,296.60439321962
0.355,296.61391344725
0.356,296.62343235955
0.357,296.63294995672
0.358,296.64246623898
0.359,296.65198120653
0.36,296.66149485958
0.361,296.67100719834
0.362,296.68051822302
0.363,296.69002793383
0.364,296.69953633097
0.365,296.70904341465
0.366,296.71854918508
0.367,296.72805364247
0.368,296.73755678702
0.369,296.74705861895
0.37,296.75655913846
0.371,296.76605834576
0.372,296.77555624106
0.373,296.78505282457
0.374,296.79454809649
0.375,296.80404205703
0.376,296.8135347064
0.377,296.8230260448
0.378,296.83251607245
0.379,296.84200478955
0.38,296.85149219631
0.381,296.86097829294
0.382,296.87046307964
0.383,296.87994655662
0.384,296.8894287241
0.385,296.89890958226
0.386,296.90838913133
0.387,296.91786737151
0.388,296.92734430301
0.389,296.93681992603
0.39,296.94629424079
0.391,296.95576724748
0.392,296.96523894632
0.393,296.97470933752
0.394,296.98417842127
0.395,296.99364619779
0.396,297.00311266728
0.397,297.01257782995
0.398,297.02204168601
0.399,297.03150423567
0.4,297.04096547912
0.401,297.05042541658
0.402,297.05988404825
0.403,297.06934137435
0.404,297.07879739507
0.405,297.08825211062
0.406,297.09770552121
0.407,297.10715762705
0.408,297.11660842834
0.409,297.12605792529
0.41,297.1355061181
0.411,297.14495300698
0.412,297.15439859215
0.413,297.16384287379
0.414,297.17328585212
0.415,297.18272752735
0.416,297.19216789968
0.417,297.20160696932
0.418,297.21104473646
0.419,297.22048120133
0.42,297.22991636412
0.421,297.23935022505
0.422,297.2487827843
0.423,297.25821404211
0.424,297.26764399865
0.425,297.27707265415
0.426,297.28650000881
0.427,297.29592606284
0.428,297.30535081643
0.429,297.3147742698
0.43,297.32419642315
0.431,297.33361727668
0.432,297.34303683061
0.433,297.35245508513
0.434,297.36187204045
0.435,297.37128769678
0.436,297.38070205432
0.437,297.39011511328
0.438,297.39952687386
0.439,297.40893733627
0.44,297.41834650071
0.441,297.42775436738
0.442,297.4371609365
0.443,297.44656620827
0.444,297.45597018288
0.445,297.46537286056
0.446,297.47477424149
0.447,297.48417432589
0.448,297.49357311396
0.449,297.5029706059
0.45,297.51236680192
0.451,297.52176170223
0.452,297.53115530703
0.453,297.54054761652
0.454,297.5499386309
0.455,297.55932835039
0.456,297.56871677518
0.457,297.57810390549
0.458,297.5874897415
0.459,297.59687428344
0.46,297.6062575315
0.461,297.61563948588
0.462,297.6250201468
0.463,297.63439951445
0.464,297.64377758904
0.465,297.65315437078
0.466,297.66252985986
0.467,297.67190405649
0.468,297.68127696087
0.469,297.69064857322
0.47,297.70001889372
0.471,297.70938792259
0.472,297.71875566003
0.473,297.72812210624
0.474,297.73748726143
0.475,297.74685112579
0.476,297.75621369954
0.477,297.76557498288
0.478,297.77493497601
0.479,297.78429367913
0.48,297.79365109245
0.481,297.80300721617
0.482,297.81236205049
0.483,297.82171559562
0.484,297.83106785176
0.485,297.84041881911
0.486,297.84976849787
0.487,297.85911688826
0.488,297.86846399046
0.489,297.87780980469
0.49,297.88715433115
0.491,297.89649757004
0.492,297.90583952156
0.493,297.91518018592
0.494,297.92451956332
0.495,297.93385765396
0.496,297.94319445804
0.497,297.95252997577
0.498,297.96186420734
0.499,297.97119715297
0.5,297.98052881286
0.501,297.9898591872
0.502,297.9991882762
