"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch","integerStep"
0,1,0,0,4,0
0.02,1,0,0,4,0
0.04,1,0,0,4,0
0.06,1,0,0,4,0
0.08,1,0,0,4,0
0.1,1,0,0,4,0
0.12,1,0,0,4,0
0.14,1,0,0,4,0
0.16,1,0,0,4,0
0.18,1,0,0,4,0
0.2,1,0,0,4,0
0.22,1,0,0,4,0
0.24,1,0,0,4,0
0.26,1,0,0,4,0
0.28,2,0,0,4,0
0.3,2,0,0,4,0
0.32,2,0,0,4,0
0.34,2,0,0,4,0
0.36,2,0,0,4,0
0.38,2,0,0,4,0
0.4,2,0,0,4,0
0.42,2,0,0,4,0
0.44,2,0,0,4,0
0.46,2,0,0,4,0
0.48,2,0,0,4,0
0.5,2,0,0,6,0
0.52,2,0,0,6,0
0.54,2,0,0,6,0
0.56,2,0,0,6,0
0.58,2,0,0,6,0
0.6,2,0,0,6,0
0.62,2,0,0,6,0
0.64,2,0,0,6,0
0.66,2,0,0,6,0
0.68,2,0,0,6,0
0.7,2,0,0,6,0
0.72,2,0,0,6,0
0.74,2,0,0,6,0
0.76,2,0,0,6,0
0.78,2,0,0,6,0
0.8,2,0,0,6,0
0.82,2,0,0,6,0
0.84,3,0,0,6,0
0.86,3,0,0,6,0
0.88,3,0,0,6,0
0.9,3,0,0,6,0
0.92,3,0,0,6,0
0.94,3,0,0,6,0
0.96,3,0,0,6,0
0.98,3,0,0,6,0
1,3,0,1,4,0
1.02,3,0,1,4,0
1.04,3,0,1,4,0
1.06,3,0,1,4,0
1.08,3,0,1,4,0
1.1,3,0,1,4,0
1.12,3,0,1,4,0
1.14,3,0,1,4,0
1.16,3,0,1,4,0
1.18,3,0,1,4,0
1.2,3,0,1,4,0
1.22,3,0,1,4,0
1.24,3,0,1,4,0
1.26,3,0,1,4,0
1.28,3,0,1,4,0
1.3,3,0,1,4,0
1.32,3,0,1,4,0
1.34,3,0,1,4,0
1.36,3,0,1,4,0
1.38,3,0,1,4,0
1.4,3,0,1,4,0
1.42,3,0,1,4,0
1.44,3,0,1,4,0
1.46,3,0,1,4,0
1.48,3,0,1,4,0
1.5,3,0,1,6,0
1.52,3,0,1,6,0
1.54,3,0,1,6,0
1.56,3,0,1,6,0
1.58,4,0,1,6,0
1.6,4,0,1,2,0
1.62,4,0,1,2,0
1.64,4,0,1,2,0
1.66,4,0,1,2,0
1.68,4,0,1,2,0
1.7,4,0,1,2,0
1.72,4,0,1,2,0
1.74,4,0,1,2,0
1.76,4,0,1,2,0
1.78,4,0,1,2,0
1.8,4,0,1,2,0
1.82,4,0,1,2,0
1.84,4,0,1,2,0
1.86,4,0,1,2,0
1.88,4,0,1,2,0
1.9,4,0,1,2,0
1.92,4,0,1,2,0
1.94,4,0,1,2,0
1.96,4,0,1,2,0
1.98,4,0,1,2,0
2,4,0,2,4,0
2.02,4,0,2,4,0
2.04,7,21,2,4,3
2.06,7,21,2,4,3
2.08,7,21,2,4,3
2.1,7,21,2,4,3
2.12,7,21,2,4,3
2.14,7,21,2,4,3
2.16,7,21,2,4,3
2.18,7,21,2,4,3
2.2,7,21,2,4,3
2.22,7,21,2,4,3
2.24,7,21,2,4,3
2.26,7,21,2,4,3
2.28,7,21,2,4,3
2.3,7,21,2,4,3
2.32,7,21,2,4,3
2.34,7,21,2,4,3
2.36,7,21,2,4,3
2.38,7,21,2,4,3
2.4,7,21,2,4,3
2.42,7,21,2,4,3
2.44,7,21,2,4,3
2.46,7,21,2,4,3
2.48,7,21,2,4,3
2.5,7,21,2,6,3
2.52,7,21,2,6,3
2.54,7,21,2,6,3
2.56,7,21,2,6,3
2.58,7,21,2,6,3
2.6,7,21,2,6,3
2.62,7,21,2,6,3
2.64,7,21,2,6,3
2.66,7,21,2,6,3
2.68,7,21,2,6,3
2.7,7,21,2,6,3
2.72,7,21,2,6,3
2.74,7,21,2,6,3
2.76,7,21,2,6,3
2.78,7,21,2,6,3
2.8,7,21,2,6,3
2.82,7,21,2,6,3
2.84,7,21,2,6,3
2.86,7,21,2,6,3
2.88,7,21,2,6,3
2.9,7,21,2,6,3
2.92,7,21,2,6,3
2.94,7,21,2,6,3
2.96,7,21,2,6,3
2.98,7,21,2,6,3
3,7,21,3,4,3
3.02,7,21,3,4,3
3.04,7,21,3,4,3
3.06,7,21,3,4,3
3.08,7,21,3,4,3
3.1,7,21,3,4,3
3.12,7,21,3,4,3
3.14,7,21,3,4,3
3.16,7,21,3,4,3
3.18,7,21,3,4,3
3.2,7,21,3,4,3
3.22,7,21,3,4,3
3.24,7,21,3,4,3
3.26,7,21,3,4,3
3.28,7,21,3,4,3
3.3,7,21,3,4,3
3.32,7,21,3,4,3
3.34,7,21,3,4,3
3.36,7,21,3,4,3
3.38,7,21,3,4,3
3.4,7,21,3,4,3
3.42,7,21,3,4,3
3.44,6,18,3,4,3
3.46,6,18,3,4,3
3.48,6,18,3,4,3
3.5,6,18,3,6,3
3.52,6,18,3,6,3
3.54,6,18,3,6,3
3.56,6,18,3,6,3
3.58,6,18,3,6,3
3.6,6,18,3,2,3
3.62,6,18,3,2,3
3.64,6,18,3,2,3
3.66,6,18,3,2,3
3.68,6,18,3,2,3
3.7,6,18,3,2,3
3.72,6,18,3,2,3
3.74,6,18,3,2,3
3.76,6,18,3,2,3
3.78,6,18,3,2,3
3.8,6,18,3,2,3
3.82,6,18,3,2,3
3.84,6,18,3,2,3
3.86,6,18,3,2,3
3.88,6,18,3,2,3
3.9,6,18,3,2,3
3.92,6,18,3,2,3
3.94,6,18,3,2,3
3.96,6,18,3,2,3
3.98,6,18,3,2,3
4,6,18,4,4,3
4.02,6,18,4,4,3
4.04,6,18,4,4,3
4.06,6,18,4,4,3
4.08,6,18,4,4,3
4.1,6,18,4,4,3
4.12,6,18,4,4,3
4.14,6,18,4,4,3
4.16,6,18,4,4,3
4.18,5,15,4,4,3
4.2,5,15,4,4,3
4.22,5,15,4,4,3
4.24,5,15,4,4,3
4.26,5,15,4,4,3
4.28,5,15,4,4,3
4.3,5,15,4,4,3
4.32,5,15,4,4,3
4.34,5,15,4,4,3
4.36,5,15,4,4,3
4.38,5,15,4,4,3
4.4,5,15,4,4,3
4.42,5,15,4,4,3
4.44,5,15,4,4,3
4.46,5,15,4,4,3
4.48,5,15,4,4,3
4.5,5,15,4,6,3
4.52,5,15,4,6,3
4.54,5,15,4,6,3
4.56,5,15,4,6,3
4.58,5,15,4,6,3
4.6,5,15,4,6,3
4.62,5,15,4,6,3
4.64,5,15,4,6,3
4.66,5,15,4,6,3
4.68,5,15,4,6,3
4.7,5,15,4,6,3
